match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision,team_1_avg_runs,team_2_avg_runs,team_1_won_toss,team_1_batted_first,venue_encoded,team_1_won
64814,New Zealand,India,254,219,New Zealand,"McLean Park, Napier",India,field,234.99731903485255,247.694,0,1,159,1
64815,India,New Zealand,108,109,New Zealand,"Jade Stadium, Christchurch",India,bat,247.694,234.99731903485255,1,1,119,0
64816,India,New Zealand,122,123,New Zealand,"Davies Park, Queenstown",New Zealand,field,247.694,234.99731903485255,0,1,67,0
64817,New Zealand,India,168,169,India,"Westpac Stadium, Wellington",New Zealand,bat,234.99731903485255,247.694,1,1,299,0
64819,India,New Zealand,122,125,New Zealand,"Westpac Park, Hamilton",New Zealand,field,247.694,234.99731903485255,0,1,297,0
64820,Australia,West Indies,270,205,Australia,"Sabina Park, Kingston, Jamaica",West Indies,field,246.49891540130153,219.19893899204243,0,1,217,1
64825,Australia,West Indies,252,254,West Indies,"Queen's Park (New), St George's, Grenada",Australia,bat,246.49891540130153,219.19893899204243,1,1,196,0
64826,Australia,West Indies,247,249,West Indies,"Queen's Park (New), St George's, Grenada",Australia,bat,246.49891540130153,219.19893899204243,1,1,196,0
64827,Sri Lanka,West Indies,201,146,Sri Lanka,"Kensington Oval, Bridgetown, Barbados",West Indies,field,229.3519313304721,219.19893899204243,0,1,127,1
64829,Sri Lanka,West Indies,191,160,Sri Lanka,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field,229.3519313304721,219.19893899204243,0,1,11,1
64830,Bangladesh,Australia,105,107,Australia,"Bundaberg Rum Stadium, Cairns",Australia,field,214.4063492063492,246.49891540130153,0,1,41,0
64831,Bangladesh,Australia,147,148,Australia,"Bundaberg Rum Stadium, Cairns",Bangladesh,bat,214.4063492063492,246.49891540130153,1,1,41,0
64832,Australia,Bangladesh,254,142,Australia,"Marrara Cricket Ground, Darwin",Australia,bat,246.49891540130153,214.4063492063492,1,1,157,1
64833,Pakistan,Bangladesh,323,186,Pakistan,Multan Cricket Stadium,Pakistan,bat,237.21428571428572,214.4063492063492,1,1,165,1
64836,Bangladesh,Pakistan,222,226,Pakistan,Rawalpindi Cricket Stadium,Bangladesh,bat,214.4063492063492,237.21428571428572,1,1,210,0
64837,Pakistan,Bangladesh,302,244,Pakistan,"National Stadium, Karachi",Pakistan,bat,237.21428571428572,214.4063492063492,1,1,174,1
64838,Pakistan,South Africa,277,269,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,bat,237.21428571428572,246.04545454545453,1,1,86,1
64839,Pakistan,South Africa,267,225,Pakistan,"Gaddafi Stadium, Lahore",South Africa,field,237.21428571428572,246.04545454545453,0,1,86,1
64840,Pakistan,South Africa,243,221,Pakistan,"Iqbal Stadium, Faisalabad",Pakistan,bat,237.21428571428572,246.04545454545453,1,1,115,1
64841,Pakistan,South Africa,157,158,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat,237.21428571428572,246.04545454545453,1,1,210,0
64842,Pakistan,South Africa,192,193,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat,237.21428571428572,246.04545454545453,1,1,210,0
64843,Bangladesh,England,143,144,England,"MA Aziz Stadium, Chittagong",Bangladesh,bat,214.4063492063492,241.78454332552693,1,1,139,0
64844,Bangladesh,England,134,137,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat,214.4063492063492,241.78454332552693,1,1,15,0
64845,Bangladesh,England,182,185,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat,214.4063492063492,241.78454332552693,1,1,15,0
64846,England,Sri Lanka,88,89,Sri Lanka,Rangiri Dambulla International Stadium,England,bat,241.78454332552693,229.3519313304721,1,1,209,0
64848,West Indies,Zimbabwe,125,128,Zimbabwe,"Queens Sports Club, Bulawayo",West Indies,bat,219.19893899204243,204.35055350553506,1,1,201,0
64849,Zimbabwe,West Indies,229,208,Zimbabwe,Harare Sports Club,West Indies,field,204.35055350553506,219.19893899204243,0,1,102,1
64850,New Zealand,Pakistan,291,292,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,bat,234.99731903485255,237.21428571428572,1,1,86,0
64851,West Indies,Zimbabwe,256,150,West Indies,Harare Sports Club,Zimbabwe,field,219.19893899204243,204.35055350553506,0,1,102,1
64852,Zimbabwe,West Indies,196,197,West Indies,Harare Sports Club,Zimbabwe,bat,204.35055350553506,219.19893899204243,1,1,102,0
64853,Pakistan,New Zealand,281,157,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,bat,237.21428571428572,234.99731903485255,1,1,86,1
64855,New Zealand,Pakistan,183,184,Pakistan,Rawalpindi Cricket Stadium,New Zealand,bat,234.99731903485255,237.21428571428572,1,1,210,0
64857,Pakistan,New Zealand,229,230,New Zealand,Eden Park,New Zealand,field,237.21428571428572,234.99731903485255,0,1,79,0
64862,South Africa,West Indies,263,54,South Africa,Newlands,South Africa,bat,246.04545454545453,219.19893899204243,1,1,180,1
64864,West Indies,South Africa,147,15,West Indies,Kingsmead,West Indies,bat,219.19893899204243,246.04545454545453,1,1,129,1
64865,South Africa,West Indies,297,300,West Indies,SuperSport Park,South Africa,bat,246.04545454545453,219.19893899204243,1,1,258,0
64870,Australia,Sri Lanka,262,178,Australia,Rangiri Dambulla International Stadium,Australia,bat,246.49891540130153,229.3519313304721,1,1,209,1
64871,Sri Lanka,Australia,245,244,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,bat,229.3519313304721,246.49891540130153,1,1,209,1
