match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision,team_1_avg_runs,team_2_avg_runs,team_1_won_toss,team_1_batted_first,venue_encoded,team_1_won
64872,South Africa,New Zealand,259,264,New Zealand,Carisbrook,New Zealand,field,246.04545454545453,234.99731903485255,0,1,46,0
64874,Australia,Sri Lanka,233,193,Australia,R.Premadasa Stadium,Australia,bat,246.49891540130153,229.3519313304721,1,1,205,1
64881,Bangladesh,Zimbabwe,183,185,Zimbabwe,Harare Sports Club,Bangladesh,bat,214.4063492063492,204.35055350553506,1,1,102,0
64882,Pakistan,India,329,317,Pakistan,Rawalpindi Cricket Stadium,Pakistan,bat,237.21428571428572,247.694,1,1,210,1
64883,India,Pakistan,244,247,Pakistan,Arbab Niaz Stadium,Pakistan,field,247.694,237.21428571428572,0,1,8,0
64884,Pakistan,India,293,294,India,Gaddafi Stadium,Pakistan,bat,237.21428571428572,247.694,1,1,85,0
64885,India,Pakistan,293,253,India,Gaddafi Stadium,Pakistan,field,247.694,237.21428571428572,0,1,85,1
64887,Zimbabwe,Sri Lanka,211,144,Zimbabwe,Queens Sports Club,Sri Lanka,field,204.35055350553506,229.3519313304721,0,1,200,1
64891,Sri Lanka,Zimbabwe,223,151,Sri Lanka,Harare Sports Club,Zimbabwe,field,229.3519313304721,204.35055350553506,0,1,102,1
64894,England,West Indies,280,282,West Indies,Daren Sammy National Cricket Stadium,West Indies,field,241.78454332552693,219.19893899204243,0,1,64,0
64896,Bangladesh,West Indies,144,145,West Indies,Arnos Vale Ground,West Indies,field,214.4063492063492,219.19893899204243,0,1,9,0
64897,West Indies,Bangladesh,124,101,West Indies,Arnos Vale Ground,Bangladesh,field,219.19893899204243,214.4063492063492,0,1,9,1
64898,Bangladesh,West Indies,118,119,West Indies,National Cricket Stadium,Bangladesh,bat,214.4063492063492,219.19893899204243,1,1,170,0
64899,Zimbabwe,Australia,205,207,Australia,Harare Sports Club,Zimbabwe,bat,204.35055350553506,246.49891540130153,1,1,102,0
64900,Australia,Zimbabwe,323,184,Australia,Harare Sports Club,Zimbabwe,field,246.49891540130153,204.35055350553506,0,1,102,1
64901,Zimbabwe,Australia,196,199,Australia,Harare Sports Club,Australia,field,204.35055350553506,246.49891540130153,0,1,102,0
64905,South Africa,Sri Lanka,235,236,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,246.04545454545453,229.3519313304721,0,1,209,0
64906,Sri Lanka,South Africa,308,259,Sri Lanka,Sinhalese Sports Club,South Africa,field,229.3519313304721,246.04545454545453,0,1,242,1
64907,New Zealand,Bangladesh,224,86,New Zealand,MA Aziz Stadium,New Zealand,bat,234.99731903485255,214.4063492063492,1,1,138,1
64910,Zimbabwe,England,195,197,England,Harare Sports Club,England,field,204.35055350553506,241.78454332552693,0,1,102,0
64911,England,Zimbabwe,263,102,England,Harare Sports Club,England,bat,241.78454332552693,204.35055350553506,1,1,102,1
64913,England,Zimbabwe,261,187,England,Queens Sports Club,England,bat,241.78454332552693,204.35055350553506,1,1,200,1
64914,India,Bangladesh,245,234,India,MA Aziz Stadium,Bangladesh,field,247.694,214.4063492063492,0,1,138,1
64917,India,Bangladesh,348,257,India,Bangabandhu National Stadium,India,bat,247.694,214.4063492063492,1,1,14,1
64919,Zimbabwe,Bangladesh,237,206,Zimbabwe,MA Aziz Stadium,Zimbabwe,bat,204.35055350553506,214.4063492063492,1,1,138,1
64922,South Africa,England,175,103,South Africa,The Wanderers Stadium,England,field,246.04545454545453,241.78454332552693,0,1,269,1
64923,Zimbabwe,Bangladesh,198,202,Bangladesh,Bangabandhu National Stadium,Zimbabwe,bat,204.35055350553506,214.4063492063492,1,1,14,0
64924,England,South Africa,270,270,South Africa,Mangaung Oval,South Africa,field,241.78454332552693,246.04545454545453,0,1,148,0
