match_id,innings,batting_team,total_runs,wickets,ball_faced
65247,2,Namibia,84,10,113
65248,1,South Africa,306,6,314
65248,2,New Zealand,229,1,229
65249,1,West Indies,244,9,317
65249,2,Bangladesh,32,2,52
65250,1,India,255,7,308
65250,2,Zimbabwe,172,10,275
65251,1,Canada,36,10,115
65251,2,Sri Lanka,37,1,28
65252,1,England,272,10,307
65252,2,Namibia,217,9,308
65254,1,Bangladesh,108,10,227
65254,2,South Africa,109,0,79
65255,1,England,246,8,312
65255,2,Pakistan,134,10,197
65256,1,Canada,202,10,266
65256,2,West Indies,206,3,132
65257,1,India,311,2,310
65257,2,Namibia,130,10,262
65258,1,Kenya,210,9,311
65258,2,Sri Lanka,157,10,275
65259,1,Zimbabwe,246,9,307
65259,2,Australia,248,3,292
65260,1,Pakistan,253,9,306
65260,2,Netherlands,156,10,256
65261,1,Bangladesh,198,7,313
65261,2,New Zealand,199,3,205
65262,1,India,250,9,311
65262,2,England,168,10,281
65263,1,Australia,301,6,310
65263,2,Namibia,45,10,91
65264,1,South Africa,254,8,309
65264,2,Canada,136,5,306
65265,1,Zimbabwe,301,8,307
65265,2,Netherlands,202,9,304
65266,1,Sri Lanka,228,6,311
65266,2,West Indies,222,9,314
65267,1,Kenya,217,7,311
65267,2,Bangladesh,185,10,297
65268,1,Pakistan,273,7,316
65268,2,India,276,4,290
65269,1,England,204,8,307
65269,2,Australia,208,8,305
65270,1,Canada,196,10,295
65270,2,New Zealand,197,5,143
65271,1,Netherlands,314,4,322
65271,2,Namibia,250,10,284
65272,1,Sri Lanka,268,9,316
65272,2,South Africa,229,6,278
65273,1,Pakistan,73,3,85
65275,1,Australia,319,5,308
65275,2,Sri Lanka,223,10,295
65276,1,Kenya,225,6,304
65276,2,India,226,4,294
65277,1,Zimbabwe,252,7,311
65277,2,New Zealand,253,4,293
65278,1,India,292,6,310
65278,2,Sri Lanka,109,10,147
65279,1,Australia,208,9,306
65279,2,New Zealand,112,10,186
65280,1,Zimbabwe,133,10,271
65280,2,Kenya,135,3,170
65281,1,New Zealand,146,10,279
65281,2,India,150,3,253
65282,1,Sri Lanka,256,5,311
65282,2,Zimbabwe,182,10,256
65283,1,Kenya,174,8,307
65283,2,Australia,178,5,192
65284,1,Australia,212,7,304
65284,2,Sri Lanka,123,7,233
65285,1,India,270,4,307
65285,2,Kenya,179,10,288
65286,1,Australia,359,2,319
65286,2,India,234,10,249
65634,1,Sri Lanka,343,5,319
65634,2,Australia,264,10,306
65635,1,Australia,271,4,318
65635,2,England,264,7,308
65636,1,Sri Lanka,284,7,319
65636,2,England,253,10,307
65637,1,Sri Lanka,211,9,312
65637,2,Australia,214,6,308
65638,1,England,279,7,312
65638,2,Sri Lanka,260,10,305
65639,1,England,152,10,295
65639,2,Australia,153,6,289
65640,1,Sri Lanka,214,8,312
65640,2,Australia,215,1,210
65641,1,England,117,10,252
65641,2,Australia,118,0,76
65642,1,Australia,229,8,301
65642,2,England,224,10,308
65643,1,Australia,288,10,307
65643,2,India,270,10,306
65644,1,Australia,225,8,312
65644,2,Zimbabwe,126,10,235
65645,1,Zimbabwe,208,6,305
65645,2,India,211,3,238
65646,1,Australia,344,7,306
65646,2,Zimbabwe,196,6,305
65647,1,India,303,4,309
65647,2,Australia,284,10,308
65648,1,India,255,6,307
65648,2,Zimbabwe,231,10,292
65649,1,India,296,4,307
65649,2,Australia,225,8,214
65652,1,Australia,263,9,306
65653,1,India,203,10,309
65653,2,Australia,204,5,200
65655,1,India,222,10,300
65655,2,Australia,224,3,251
65656,1,Australia,359,5,311
65656,2,India,151,10,205
65659,1,West Indies,273,5,314
65659,2,Pakistan,274,4,288
65660,1,West Indies,263,9,306
65660,2,Australia,43,5,68
65661,1,Pakistan,163,10,242
65661,2,Australia,167,1,230
65662,1,Australia,269,8,314
65662,2,West Indies,196,10,280
65664,1,Australia,265,10,314
65664,2,Pakistan,268,7,292
65665,1,Pakistan,307,8,316
65665,2,West Indies,277,10,305
65666,1,Australia,237,10,304
65666,2,Pakistan,219,9,303
65708,1,Pakistan,257,6,306
65708,2,Bangladesh,181,10,283
65713,1,Pakistan,122,10,246
65713,2,Sri Lanka,123,3,212
65714,1,Bangladesh,190,9,304
65714,2,Sri Lanka,191,0,210
65716,1,India,271,6,314
65716,2,Sri Lanka,267,9,308
65718,1,Sri Lanka,228,9,309
65718,2,India,203,9,305
65803,1,Pakistan,278,7,322
65803,2,Zimbabwe,210,10,276
65804,1,Sri Lanka,223,6,307
65804,2,Pakistan,225,3,291
65805,1,Kenya,225,6,308
65805,2,Zimbabwe,230,5,305
65806,1,Sri Lanka,256,5,305
65806,2,Kenya,127,10,237
65807,1,Sri Lanka,193,10,304
65807,2,Zimbabwe,194,6,302
65808,1,Pakistan,286,8,305
65808,2,Kenya,143,10,200
65809,1,Zimbabwe,168,10,306
65809,2,Pakistan,172,2,224
66196,1,England,299,7,321
66196,2,Zimbabwe,147,10,245
66197,1,New Zealand,347,4,310
66197,2,United States of America,137,10,269
66198,1,India,290,4,307
66198,2,Kenya,192,7,315
66200,1,United States of America,65,10,156
66200,2,Australia,66,1,52
66201,1,Zimbabwe,191,10,301
66201,2,Sri Lanka,195,6,272
66202,1,Kenya,94,10,202
66202,2,Pakistan,95,3,117
66203,1,West Indies,269,3,310
66203,2,Bangladesh,131,10,245
66204,1,New Zealand,198,9,309
66204,2,Australia,199,3,226
66205,1,England,251,7,304
66205,2,Sri Lanka,95,5,152
66206,1,South Africa,246,6,302
66206,2,West Indies,249,5,305
66207,1,India,200,10,313
66207,2,Pakistan,201,7,299
66208,1,Australia,259,9,308
66208,2,England,262,4,288
66209,1,Pakistan,131,10,245
66209,2,West Indies,132,4,179
66210,1,England,217,10,313
66210,2,West Indies,218,8,311
66283,1,England,293,6,307
66283,2,Sri Lanka,249,9,310
66284,1,England,271,7,305
66284,2,India,272,4,300
66293,1,England,191,8,310
66293,2,Zimbabwe,195,6,295
66294,1,South Africa,264,6,303
66294,2,England,265,4,278
66295,1,South Africa,272,5,314
66295,2,Zimbabwe,226,9,306
66296,1,England,81,4,105
66297,1,England,223,7,307
66297,2,South Africa,227,3,295
66299,1,Zimbabwe,92,10,169
66299,2,England,95,4,119
66301,1,Zimbabwe,173,8,317
66301,2,South Africa,174,3,221
66302,1,South Africa,107,10,206
66302,2,England,111,3,131
66304,1,England,147,10,243
66304,2,West Indies,148,3,207
66305,1,England,101,10,205
66305,2,New Zealand,103,3,111
66306,1,West Indies,159,10,247
66306,2,England,160,3,144
66309,1,England,285,7,316
66309,2,West Indies,286,3,300
66311,1,New Zealand,266,10,306
66311,2,West Indies,159,10,251
66356,1,India,46,3,106
66357,1,Pakistan,199,8,307
66357,2,Sri Lanka,120,10,272
66358,1,Pakistan,116,10,270
66358,2,New Zealand,117,3,179
66361,1,New Zealand,156,8,305
66361,2,Sri Lanka,147,10,308
66363,1,Pakistan,198,10,309
66363,2,New Zealand,200,6,296
66364,1,India,141,3,165
66365,1,India,283,5,306
66365,2,Australia,246,9,310
66366,1,New Zealand,97,10,221
66366,2,Australia,101,2,102
66367,1,Australia,286,8,315
66367,2,India,209,10,283
66368,1,New Zealand,258,9,326
66368,2,Australia,259,8,308
66369,1,India,246,9,302
66369,2,New Zealand,249,6,292
66372,1,India,353,5,307
66372,2,New Zealand,208,10,290
66374,1,Pakistan,192,6,201
66374,2,India,127,10,166
66375,1,Australia,175,7,196
