match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision
64932,South Africa,Zimbabwe,301,136,South Africa,The Wanderers Stadium,Zimbabwe,field
64933,Australia,New Zealand,264,178,Australia,Eden Park,Australia,bat
64934,South Africa,Zimbabwe,329,198,South Africa,Kingsmead,Zimbabwe,field
64935,New Zealand,Australia,233,236,Australia,Basin Reserve,Australia,field
64936,Zimbabwe,South Africa,206,207,South Africa,St George's Park,Zimbabwe,bat
64939,India,Pakistan,356,298,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,bat
64941,India,Pakistan,315,319,Pakistan,"Sardar Patel (Gujarat) Stadium, Motera",India,bat
64942,India,Pakistan,249,252,Pakistan,Green Park,India,bat
64943,Pakistan,India,303,144,Pakistan,Arun Jaitley Stadium,Pakistan,bat
65029,England,Pakistan,204,208,Pakistan,"Old Trafford, Manchester",England,bat
65030,Pakistan,England,185,189,England,"Kennington Oval, London",Pakistan,bat
65031,Pakistan,England,229,231,England,"Lord's, London",England,field
65032,India,England,170,171,England,Trent Bridge,England,field
65033,England,India,307,237,England,Kennington Oval,India,field
65034,India,England,204,181,India,Lord's,India,bat
65235,West Indies,South Africa,278,275,West Indies,"Newlands, Cape Town",West Indies,bat
65236,Zimbabwe,Namibia,340,104,Zimbabwe,Harare Sports Club,Namibia,field
65237,Sri Lanka,New Zealand,272,225,Sri Lanka,"Goodyear Park, Bloemfontein",New Zealand,field
65238,Australia,Pakistan,310,228,Australia,"New Wanderers Stadium, Johannesburg",Pakistan,field
65239,Canada,Bangladesh,180,120,Canada,"Kingsmead, Durban",Canada,bat
65240,Kenya,South Africa,140,142,South Africa,"North West Cricket Stadium, Potchefstroom",Kenya,bat
65241,India,Netherlands,204,136,India,"Boland Bank Park, Paarl",India,bat
65242,New Zealand,West Indies,241,221,New Zealand,"St George's Park, Port Elizabeth",West Indies,field
65244,India,Australia,125,128,Australia,"SuperSport Park, Centurion",India,bat
65245,Canada,Kenya,197,198,Kenya,"Newlands, Cape Town",Canada,bat
65246,Netherlands,England,142,144,England,"Buffalo Park, East London",England,field
65247,Pakistan,Namibia,255,84,Pakistan,"De Beers Diamond Oval, Kimberley",Pakistan,bat
65248,South Africa,New Zealand,306,229,South Africa,"New Wanderers Stadium, Johannesburg",South Africa,bat
65249,West Indies,Bangladesh,244,32,West Indies,"Willowmoore Park, Benoni",Bangladesh,field
65250,India,Zimbabwe,255,172,India,Harare Sports Club,Zimbabwe,field
65251,Canada,Sri Lanka,36,37,Sri Lanka,"Boland Bank Park, Paarl",Sri Lanka,field
65252,England,Namibia,272,217,England,"St George's Park, Port Elizabeth",Namibia,field
65254,Bangladesh,South Africa,108,109,South Africa,"Goodyear Park, Bloemfontein",South Africa,field
65255,England,Pakistan,246,134,England,"Newlands, Cape Town",England,bat
65256,Canada,West Indies,202,206,West Indies,"SuperSport Park, Centurion",West Indies,field
65257,India,Namibia,311,130,India,"City Oval, Pietermaritzburg",Namibia,field
65258,Kenya,Sri Lanka,210,157,Kenya,"Gymkhana Club Ground, Nairobi",Sri Lanka,field
65259,Zimbabwe,Australia,246,248,Australia,"Queens Sports Club, Bulawayo",Zimbabwe,bat
65260,Pakistan,Netherlands,253,156,Pakistan,"Boland Bank Park, Paarl",Netherlands,field
65261,Bangladesh,New Zealand,198,199,New Zealand,"De Beers Diamond Oval, Kimberley",Bangladesh,bat
65262,India,England,250,168,India,"Kingsmead, Durban",India,bat
65263,Australia,Namibia,301,45,Australia,"North West Cricket Stadium, Potchefstroom",Australia,bat
65264,South Africa,Canada,254,136,South Africa,"Buffalo Park, East London",Canada,field
65265,Zimbabwe,Netherlands,301,202,Zimbabwe,"Queens Sports Club, Bulawayo",Netherlands,field
65266,Sri Lanka,West Indies,228,222,Sri Lanka,"Newlands, Cape Town",Sri Lanka,bat
65267,Kenya,Bangladesh,217,185,Kenya,"New Wanderers Stadium, Johannesburg",Kenya,bat
65268,Pakistan,India,273,276,India,"SuperSport Park, Centurion",Pakistan,bat
65269,England,Australia,204,208,Australia,"St George's Park, Port Elizabeth",England,bat
65270,Canada,New Zealand,196,197,New Zealand,"Willowmoore Park, Benoni",New Zealand,field
65271,Netherlands,Namibia,314,250,Netherlands,"Goodyear Park, Bloemfontein",Netherlands,bat
65272,Sri Lanka,South Africa,268,229,Sri Lanka,"Kingsmead, Durban",Sri Lanka,bat
65275,Australia,Sri Lanka,319,223,Australia,"SuperSport Park, Centurion",Australia,bat
